Time_s,Pressure_mbar,Flow_ul_min
3.66,-0.37,0.00
4.66,-0.37,0.00
5.66,-0.43,0.00
6.66,-0.37,0.00
7.66,-0.37,0.00
8.66,-0.37,0.00
9.66,-0.37,0.00
10.66,60.00,0.00
11.66,180.32,0.00
12.67,300.69,0.00
13.67,421.41,0.00
14.67,541.83,0.00
15.67,599.94,0.00
16.67,599.82,0.00
17.67,599.88,0.00
18.67,535.52,0.00
19.68,415.04,0.00
20.68,294.56,0.00
21.68,173.65,0.00
22.68,53.32,0.00
23.68,527.00,0.00
24.68,405.61,0.00
25.68,284.58,0.00
26.68,163.19,0.00
27.68,42.41,0.00
28.68,-0.37,0.00
29.68,-0.43,0.00
30.69,-0.37,0.00
31.69,-0.43,0.00
32.69,-0.37,0.00
33.69,30.33,0.00
34.69,90.29,0.00
35.69,150.58,0.00
36.69,210.80,0.00
37.69,271.10,0.00
38.69,299.77,0.00
39.70,299.77,0.00
40.70,299.71,0.00
41.70,299.77,0.00
42.70,299.77,0.00
43.70,299.65,0.00
44.70,299.77,0.00
45.70,299.71,0.00
46.70,299.71,0.00
47.71,299.65,0.00
48.71,299.83,0.00
49.71,299.77,0.00
50.71,299.77,0.00
51.71,299.71,0.00
52.71,299.77,0.00
53.71,299.77,0.00
54.72,299.71,0.00
55.72,299.77,0.00
56.72,299.71,0.00
57.72,299.77,0.00
58.72,299.71,0.00
60.72,299.77,0.00
61.72,299.77,0.00
62.72,299.71,0.00
63.72,299.71,0.00
65.73,299.77,0.00
66.73,299.77,0.00
67.73,299.77,0.00
68.73,299.83,0.00
69.73,299.77,0.00
70.73,299.71,0.00
71.74,299.71,0.00
72.74,299.71,0.00
73.74,299.71,0.00
74.75,299.77,0.00
75.75,299.71,0.00
76.76,299.77,0.00
77.76,299.71,0.00
78.76,299.77,0.00
79.76,299.71,0.00
80.76,299.71,0.00
82.76,299.71,0.00
83.76,299.71,0.00
84.76,299.71,0.00
85.76,299.77,0.00
86.77,299.83,0.00
87.77,299.77,0.00
88.77,299.71,0.00
89.77,299.77,0.00
90.77,299.77,0.00
91.77,299.77,0.00
92.77,299.71,0.00
93.77,299.77,0.00
94.77,299.77,0.00
95.78,299.83,0.00
96.78,299.71,0.00
97.78,299.71,0.00
98.78,279.43,0.00
99.78,219.06,0.00
100.78,159.09,0.00
101.78,98.69,0.00
102.78,38.36,0.00
103.78,274.90,0.00
104.78,216.49,0.00
105.78,155.84,0.00
106.78,95.38,0.00
107.79,29.23,0.00
108.79,-0.43,0.00
109.79,-0.37,0.00
110.79,-0.31,0.00
111.79,-0.37,0.00
112.79,-0.37,0.00
113.79,-0.31,0.00
114.79,-0.31,0.00
115.79,-0.25,0.00
117.80,-0.31,0.00
118.80,-0.43,0.00
119.80,-0.31,0.00
120.80,-0.31,0.00
121.80,-0.37,0.00
122.80,-0.43,0.00
123.80,-0.37,0.00
124.80,-0.37,0.00
125.81,-0.31,0.00
126.81,-0.37,0.00
127.81,-0.43,0.00
128.81,-0.31,0.00
129.81,-0.31,0.00
130.81,-0.37,0.00
131.81,-0.31,0.00
132.81,-0.31,0.00
133.81,-0.37,0.00
134.82,-0.31,0.00
135.82,120.38,0.00
136.82,240.85,0.00
137.82,361.28,0.00
138.82,481.76,0.00
139.82,600.00,0.00
140.82,599.94,0.00
141.82,599.94,0.00
142.82,595.83,0.00
143.83,474.23,0.00
144.83,353.93,0.00
145.83,233.26,0.00
146.83,113.21,0.00
147.83,378.61,0.00
148.83,478.14,0.00
149.83,356.69,0.00
150.83,235.77,0.00
151.83,114.93,0.00
152.83,-0.86,0.00
153.84,-0.43,0.00
154.84,-0.37,0.00
155.84,-0.37,0.00
156.84,-0.31,0.00
157.84,-0.37,0.00
158.84,61.29,0.00
159.84,121.49,0.00
160.84,179.77,0.00
161.84,241.83,0.00
162.84,301.55,0.00
163.85,299.77,0.00
164.85,299.71,0.00
165.85,299.77,0.00
166.85,299.71,0.00
167.85,299.77,0.00
168.85,299.83,0.00
169.85,299.71,0.00
170.85,299.83,0.00
171.86,299.71,0.00
172.86,299.77,0.00
174.86,299.71,0.00
175.86,299.77,0.00
176.86,299.77,0.00
177.86,299.77,0.00
178.86,299.77,0.00
179.87,299.83,0.00
180.87,299.71,0.00
181.87,299.89,0.00
182.87,299.71,0.00
183.87,299.77,0.00
184.87,299.77,0.00
185.87,299.77,0.00
186.87,299.77,0.00
187.88,299.77,0.00
188.88,299.77,0.00
189.88,299.77,0.00
190.88,299.77,0.00
191.88,299.83,0.00
192.88,299.77,0.00
193.88,299.71,0.00
194.88,299.71,0.00
195.88,299.83,0.00
196.88,299.71,0.00
197.88,299.77,0.00
198.88,299.77,0.00
199.88,299.77,0.00
200.89,299.71,0.00
201.89,299.77,0.00
202.89,299.77,0.00
203.89,299.77,0.00
204.89,299.71,0.00
205.89,299.77,0.00
206.89,299.77,0.00
207.90,299.83,0.00
208.90,299.71,0.00
209.90,299.71,0.00
210.90,299.77,0.00
211.90,299.71,0.00
212.90,299.77,0.00
213.90,299.77,0.00
214.90,299.77,0.00
215.90,299.77,0.00
216.90,299.77,0.00
217.90,299.71,0.00
218.91,299.71,0.00
219.91,299.77,0.00
220.91,299.65,0.00
221.91,299.89,0.00
222.91,299.71,0.00
223.91,251.01,0.00
224.91,190.97,0.00
225.91,130.74,0.00
226.91,70.36,0.00
227.91,9.98,0.00
228.92,252.60,0.00
229.92,192.32,0.00
230.92,125.65,0.00
231.92,66.44,0.00
232.92,17.58,0.00
235.94,-0.31,0.00
236.94,-0.31,0.00
237.94,-0.31,0.00
238.94,-0.31,0.00
239.94,-0.31,0.00
240.94,-0.31,0.00
241.94,-0.31,0.00
242.94,60.00,0.00
243.95,180.94,0.00
244.95,300.94,0.00
245.95,421.90,0.00
246.95,542.07,0.00
247.95,600.00,0.00
248.95,599.94,0.00
249.95,600.07,0.00
250.95,535.88,0.00
252.95,294.75,0.00
253.96,174.39,0.00
254.96,53.87,0.00
255.96,531.35,0.00
256.96,395.14,0.00
257.96,275.33,0.00
258.96,156.39,0.00
259.96,31.00,0.00
260.96,-0.37,0.00
261.96,-0.31,0.00
262.96,-0.31,0.00
263.97,-0.37,0.00
264.97,-0.43,0.00
265.97,27.57,0.00
266.97,87.72,0.00
267.97,149.23,0.00
268.97,209.09,0.00
269.97,272.26,0.00
270.97,299.96,0.00
271.97,299.77,0.00
272.97,299.77,0.00
273.97,299.77,0.00
274.98,299.71,0.00
275.98,299.77,0.00
276.98,299.77,0.00
277.98,299.71,0.00
278.98,299.77,0.00
279.98,299.77,0.00
280.98,299.77,0.00
282.98,299.77,0.00
283.98,299.77,0.00
284.99,299.77,0.00
285.99,299.83,0.00
286.99,299.77,0.00
287.99,299.83,0.00
288.99,299.83,0.00
289.99,299.71,0.00
290.99,299.77,0.00
291.99,299.77,0.00
293.07,299.71,0.00
294.07,299.77,0.00
295.07,299.77,0.00
296.07,299.71,0.00
297.07,299.77,0.00
298.07,299.83,0.00
299.07,299.77,0.00
300.07,299.65,0.00
301.08,299.83,0.00
302.08,299.71,0.00
303.08,299.89,0.00
304.08,299.83,0.00
305.08,299.83,0.00
306.08,299.77,0.00
307.08,299.83,0.00
308.08,299.77,0.00
309.08,299.77,0.00
311.09,299.83,0.00
312.09,299.77,0.00
313.09,299.83,0.00
314.09,299.83,0.00
315.09,299.83,0.00
316.09,299.83,0.00
317.09,299.89,0.00
318.09,299.71,0.00
319.09,299.77,0.00
320.09,299.77,0.00
321.10,299.83,0.00
322.10,299.77,0.00
323.10,299.89,0.00
324.10,299.83,0.00
325.10,299.77,0.00
326.10,299.77,0.00
327.10,299.77,0.00
328.11,299.83,0.00
329.11,299.77,0.00
330.11,299.77,0.00
331.11,282.62,0.00
332.11,222.36,0.00
333.11,162.03,0.00
334.11,101.94,0.00
335.11,41.55,0.00
336.11,277.23,0.00
337.11,216.37,0.00
338.11,149.84,0.00
339.11,88.45,0.00
340.12,44.49,0.00
341.12,-0.31,0.00
342.12,-0.31,0.00
343.12,-0.25,0.00
344.12,-0.37,0.00
345.12,-0.31,0.00
346.12,-0.31,0.00
347.12,-0.25,0.00
348.12,-0.31,0.00
350.13,-0.37,0.00
351.13,-0.43,0.00
352.13,-0.37,0.00
353.13,-0.37,0.00
354.13,-0.37,0.00
355.13,-0.25,0.00
356.13,-0.37,0.00
357.13,-0.31,0.00
358.13,-0.31,0.00
359.13,-0.31,0.00
360.13,-0.31,0.00
361.14,-0.37,0.00
362.14,-0.31,0.00
363.14,-0.25,0.00
365.14,-0.31,0.00
366.14,-0.25,0.00
367.14,-0.31,0.00
368.14,120.94,0.00
369.15,240.85,0.00
370.15,360.36,0.00
371.15,481.82,0.00
372.15,600.07,0.00
373.15,600.00,0.00
374.15,600.07,0.00
375.15,596.75,0.00
376.15,474.47,0.00
377.15,354.36,0.00
378.16,234.54,0.00
379.16,113.58,0.00
380.16,304.24,0.00
381.16,478.39,0.00
382.16,359.81,0.00
383.16,233.08,0.00
385.16,-6.86,0.00
386.16,-0.31,0.00
387.17,-0.37,0.00
388.17,-0.31,0.00
389.17,-0.25,0.00
390.17,-0.31,0.00
391.17,49.58,0.00
392.17,108.25,0.00
393.17,165.88,0.00
394.17,231.06,0.00
395.17,286.23,0.00
396.17,299.83,0.00
397.17,299.83,0.00
398.18,299.77,0.00
399.18,299.71,0.00
400.18,299.77,0.00
401.18,299.77,0.00
402.18,299.65,0.00
403.18,299.77,0.00
404.18,299.77,0.00
405.19,299.77,0.00
406.19,299.83,0.00
407.19,299.77,0.00
408.19,299.83,0.00
409.19,299.83,0.00
410.19,299.77,0.00
411.20,299.83,0.00
412.20,299.83,0.00
413.20,299.83,0.00
414.20,299.83,0.00
415.20,299.77,0.00
416.20,299.83,0.00
417.20,299.83,0.00
418.20,299.96,0.00
419.20,299.83,0.00
420.20,299.83,0.00
421.20,299.83,0.00
422.21,299.83,0.00
423.21,299.83,0.00
424.21,299.83,0.00
425.21,299.77,0.00
426.21,299.89,0.00
427.21,299.83,0.00
428.21,299.83,0.00
429.21,299.83,0.00
430.21,299.83,0.00
431.21,299.83,0.00
432.21,299.83,0.00
433.21,299.77,0.00
434.22,299.77,0.00
435.22,299.71,0.00
436.22,299.96,0.00
438.22,299.89,0.00
439.22,299.83,0.00
440.22,299.83,0.00
441.22,299.89,0.00
442.22,299.83,0.00
444.23,299.83,0.00
445.23,299.77,0.00
446.23,299.71,0.00
447.23,299.77,0.00
448.23,299.71,0.00
449.23,299.83,0.00
450.23,299.77,0.00
451.23,299.71,0.00
452.23,299.77,0.00
453.23,299.77,0.00
454.23,299.83,0.00
455.24,299.83,0.00
456.24,253.71,0.00
457.24,193.42,0.00
458.24,133.37,0.00
459.24,73.00,0.00
460.24,12.93,0.00
461.24,246.48,0.00
462.24,190.54,0.00
463.24,142.13,0.00
464.24,65.40,0.00
465.24,7.10,0.00
473.69,-0.25,0.00
474.69,-0.31,0.00
475.69,-0.31,0.00
476.69,-0.25,0.00
477.69,-0.25,0.00
478.69,-0.31,0.00
479.69,-0.19,0.00
480.70,60.25,0.00
481.70,180.51,0.00
482.70,301.00,0.00
483.70,421.77,0.00
484.70,542.19,0.00
485.70,600.00,0.00
486.70,599.94,0.00
487.70,600.00,0.00
488.71,534.72,0.00
489.71,414.61,0.00
490.71,293.89,0.00
491.71,173.47,0.00
