Time_s,Pressure_mbar,Flow_ul_min
6.03,-0.19,0.00
7.03,60.25,0.00
8.03,180.88,0.00
9.03,301.36,0.00
10.03,421.71,0.00
11.04,542.19,0.00
12.04,600.07,0.00
14.04,600.07,0.00
15.04,532.76,0.00
16.04,412.16,0.00
17.05,291.75,0.00
18.05,171.33,0.00
19.05,50.93,0.00
21.05,379.84,0.00
22.05,258.42,0.00
23.05,137.78,0.00
24.05,16.23,0.00
25.05,-0.31,0.00
26.05,-0.25,0.00
27.06,-0.25,0.00
28.06,-0.19,0.00
29.06,-0.25,0.00
30.06,40.38,0.00
31.06,120.45,0.00
32.06,200.95,0.00
33.06,281.21,0.00
34.06,361.53,0.00
35.06,399.92,0.00
36.07,399.86,0.00
37.07,399.86,0.00
38.07,399.86,0.00
39.07,399.80,0.00
40.07,399.74,0.00
41.07,399.80,0.00
42.07,399.86,0.00
43.07,399.86,0.00
44.07,399.86,0.00
45.07,399.86,0.00
46.08,399.86,0.00
47.08,399.86,0.00
48.08,399.92,0.00
49.08,399.92,0.00
50.08,399.92,0.00
51.08,399.92,0.00
52.08,399.92,0.00
53.09,399.86,0.00
54.09,399.86,0.00
55.09,399.86,0.00
56.09,399.86,0.00
57.09,399.74,0.00
58.09,399.86,0.00
59.09,399.92,0.00
60.09,399.80,0.00
61.09,399.86,0.00
62.09,399.86,0.00
63.10,399.86,0.00
64.10,399.86,0.00
65.10,399.92,0.00
66.10,399.80,0.00
67.10,399.86,0.00
68.10,399.92,0.00
69.11,399.92,0.00
70.11,399.86,0.00
71.11,399.86,0.00
72.11,399.86,0.00
73.11,399.80,0.00
74.11,399.92,0.00
75.11,399.92,0.00
76.11,399.92,0.00
77.11,399.86,0.00
78.12,399.86,0.00
79.12,399.86,0.00
80.12,399.86,0.00
81.12,399.86,0.00
82.12,399.92,0.00
83.12,399.86,0.00
84.12,399.86,0.00
85.12,399.92,0.00
87.13,399.86,0.00
88.13,399.74,0.00
89.13,399.86,0.00
90.13,399.80,0.00
91.13,399.86,0.00
92.13,399.92,0.00
93.13,399.80,0.00
94.13,399.92,0.00
95.13,332.86,0.00
96.14,251.63,0.00
97.14,171.63,0.00
98.14,91.21,0.00
99.14,11.09,0.00
100.14,345.36,0.00
101.14,286.78,0.00
102.14,184.36,0.00
103.14,125.59,0.00
104.14,45.10,0.00
105.15,-0.25,0.00
106.15,-0.19,0.00
107.15,-0.25,0.00
108.15,-0.19,0.00
109.15,-0.25,0.00
110.15,-0.19,0.00
111.15,-0.19,0.00
112.15,-0.25,0.00
113.15,-0.19,0.00
114.15,-0.25,0.00
115.15,-0.25,0.00
116.16,-0.19,0.00
117.16,-0.31,0.00
118.16,-0.19,0.00
119.16,-0.19,0.00
120.16,-0.12,0.00
121.16,-0.12,0.00
122.16,-0.12,0.00
123.16,-0.19,0.00
124.16,-0.25,0.00
125.16,-0.19,0.00
126.17,-0.19,0.00
127.17,-0.25,0.00
128.17,-0.12,0.00
129.17,-0.06,0.00
130.17,-0.19,0.00
131.17,-0.25,0.00
132.17,-0.25,0.00
134.18,-0.19,0.00
135.18,-0.19,0.00
136.18,-0.25,0.00
137.18,-0.19,0.00
138.18,-0.19,0.00
139.18,-0.25,0.00
140.18,-0.19,0.00
142.19,-0.19,0.00
143.19,-0.19,0.00
144.19,-0.25,0.00
145.19,-0.19,0.00
146.19,-0.12,0.00
147.19,-0.25,0.00
148.19,-0.19,0.00
149.20,-0.25,0.00
150.20,-0.19,0.00
151.20,-0.12,0.00
152.20,-0.19,0.00
153.20,-0.19,0.00
154.20,-0.25,0.00
155.20,-0.19,0.00
157.21,-0.19,0.00
158.21,-0.12,0.00
159.21,-0.25,0.00
161.21,-0.19,0.00
162.22,-0.25,0.00
163.22,-0.12,0.00
164.22,-0.25,0.00
165.22,-0.19,0.00
166.22,-0.19,0.00
167.22,-0.19,0.00
168.22,-0.19,0.00
169.23,-0.25,0.00
170.23,-0.19,0.00
171.23,-0.25,0.00
172.23,-0.19,0.00
173.23,-0.31,0.00
174.23,-0.25,0.00
175.23,-0.25,0.00
176.24,-0.25,0.00
177.24,-0.25,0.00
178.24,-0.19,0.00
179.24,-0.19,0.00
180.24,-0.25,0.00
181.24,-0.19,0.00
182.24,-0.19,0.00
183.24,-0.25,0.00
184.24,-0.25,0.00
185.26,-0.19,0.00
186.26,-0.25,0.00
187.26,-0.19,0.00
188.27,-0.19,0.00
189.27,-0.25,0.00
190.27,-0.19,0.00
191.27,-0.19,0.00
192.27,-0.12,0.00
194.27,-0.19,0.00
195.27,-0.19,0.00
196.27,-0.12,0.00
197.28,-0.06,0.00
198.28,-0.12,0.00
199.28,-0.19,0.00
200.28,-0.31,0.00
201.28,-0.19,0.00
202.28,-0.12,0.00
203.28,-0.19,0.00
204.28,-0.19,0.00
206.49,-0.25,0.00
207.49,101.63,0.00
208.49,219.67,0.00
209.49,331.08,0.00
210.49,421.90,0.00
211.49,562.72,0.00
212.49,600.19,0.00
213.49,600.13,0.00
214.49,600.13,0.00
215.50,536.19,0.00
217.50,295.36,0.00
218.50,175.12,0.00
219.50,54.67,0.00
221.50,381.92,0.00
222.50,260.57,0.00
223.50,138.03,0.00
224.50,17.15,0.00
225.51,-0.19,0.00
226.51,-0.25,0.00
227.51,-0.12,0.00
228.51,-0.12,0.00
229.52,-0.06,0.00
230.52,41.18,0.00
231.52,121.24,0.00
232.52,201.56,0.00
233.52,281.94,0.00
234.52,363.06,0.00
235.52,399.86,0.00
236.53,399.86,0.00
237.53,399.80,0.00
238.53,399.86,0.00
239.53,399.86,0.00
240.53,399.92,0.00
241.53,399.86,0.00
242.53,399.86,0.00
243.53,399.92,0.00
244.54,399.80,0.00
245.54,399.80,0.00
246.54,399.86,0.00
247.54,399.86,0.00
248.54,399.92,0.00
249.54,399.80,0.00
250.54,399.80,0.00
251.54,399.86,0.00
252.54,399.80,0.00
253.54,399.80,0.00
254.55,399.98,0.00
255.55,399.86,0.00
256.55,399.86,0.00
257.55,399.92,0.00
258.55,399.86,0.00
259.55,399.86,0.00
260.55,399.92,0.00
261.55,399.92,0.00
262.55,399.86,0.00
263.55,399.92,0.00
264.56,399.86,0.00
265.56,399.80,0.00
266.56,399.86,0.00
267.56,399.86,0.00
268.56,399.80,0.00
269.56,399.80,0.00
270.57,399.86,0.00
271.57,399.92,0.00
272.57,399.92,0.00
273.57,399.92,0.00
274.57,399.92,0.00
275.57,399.86,0.00
276.57,399.92,0.00
277.58,399.86,0.00
278.58,399.92,0.00
279.58,399.86,0.00
280.58,399.86,0.00
281.58,399.86,0.00
282.58,399.86,0.00
283.58,399.98,0.00
284.59,399.86,0.00
285.59,399.86,0.00
286.59,399.92,0.00
287.59,399.98,0.00
288.59,399.86,0.00
289.59,399.92,0.00
290.59,399.86,0.00
291.59,399.86,0.00
293.59,399.80,0.00
294.59,399.86,0.00
